game_id,season,week,date,away_team,home_team,fav_team,dog_team,spread,total,fav_pts,dog_pts,actual_total,bias,model_prob,over,threshold,passes_filter,flat_units_risked,flat_units_pnl,kelly_units,kelly_units_pnl
400869319,2016,9,2016-10-29,Kent State,Central Michigan,Central Michigan,Kent State,12.5,44.5,24,27,51,0.4570410803,0.5002772518,1,1.75,0,0,0,0,0
400869392,2016,9,2016-10-29,Western Kentucky,Florida Atlantic,Western Kentucky,Florida Atlantic,21.5,66.5,52,3,55,0.1088548226,0.4863888081,0,1.75,0,0,0,0,0
400869717,2016,9,2016-10-29,Miami (OH),Eastern Michigan,Eastern Michigan,Miami (OH),7,50,15,28,43,0.1661813258,0.4886747608,0,1.75,0,0,0,0,0
400869391,2016,9,2016-10-29,Middle Tennessee,Florida International,Middle Tennessee,Florida International,17.5,62.5,42,35,77,0.1096146405,0.4864191039,1,1.75,0,0,0,0,0
400869393,2016,9,2016-10-29,Rice,Louisiana Tech,Louisiana Tech,Rice,29.5,68,61,16,77,0.2223835734,0.4909162444,1,1.75,0,0,0,0,0
400869395,2016,9,2016-10-29,North Texas,UTSA,UTSA,North Texas,4.5,51,31,17,48,0.1273676025,0.4871269788,0,1.75,0,0,0,0,0
400869396,2016,9,2016-10-30,Old Dominion,UTEP,Old Dominion,UTEP,5,54.5,31,21,52,0.08517502758,0.4854446784,0,1.75,0,0,0,0,0
400869841,2016,10,2016-11-05,South Alabama,UL Monroe,South Alabama,UL Monroe,9,49.5,35,42,77,0.2041416574,0.4901886772,1,1.75,0,0,0,0,0
400869398,2016,10,2016-11-05,Florida International,Western Kentucky,Western Kentucky,Florida International,34,65.5,49,21,70,0.4480629564,0.4999190646,1,1.75,0,0,0,0,0
400869400,2016,10,2016-11-05,Louisiana Tech,North Texas,Louisiana Tech,North Texas,17.5,63.5,45,24,69,0.09756434936,0.4859386393,1,1.75,0,0,0,0,0
400869240,2016,10,2016-11-05,Hawai'i,San Diego State,San Diego State,Hawai'i,20,50.5,55,0,55,0.4968529399,0.5018655615,1,1.75,0,0,0,0,0
400869043,2016,10,2016-11-05,Georgia,Kentucky,Georgia,Kentucky,2.5,52,27,24,51,0.1046635598,0.4862216939,0,1.75,0,0,0,0,0
400869326,2016,11,2016-11-09,Western Michigan,Kent State,Western Michigan,Kent State,21,55,37,21,58,0.353697736,0.4961543709,1,1.75,0,0,0,0,0
400869325,2016,11,2016-11-09,Eastern Michigan,Ball State,Ball State,Eastern Michigan,1,59.5,41,48,89,0.03869162482,0.4835915953,1,1.75,0,0,0,0,0
400869327,2016,11,2016-11-10,Bowling Green,Akron,Akron,Bowling Green,10.5,73,28,38,66,0.01190768712,0.4825239992,0,1.75,0,0,0,0,0
400869328,2016,11,2016-11-10,Toledo,Northern Illinois,Toledo,Northern Illinois,6,69.5,31,24,55,0.0119265632,0.4825247515,0,1.75,0,0,0,0,0
400869844,2016,11,2016-11-11,Louisiana,Georgia Southern,Georgia Southern,Louisiana,7.5,45,26,33,59,0.2993611528,0.4939867507,1,1.75,0,0,0,0,0
400869055,2016,11,2016-11-13,Ole Miss,Texas A&M,Texas A&M,Ole Miss,7,62,28,29,57,0.03740160788,0.483540173,0,1.75,0,0,0,0,0
400869334,2016,12,2016-11-19,Buffalo,Western Michigan,Western Michigan,Buffalo,34.5,55.5,38,0,38,1.123197617,0.526833674,0,1.75,0,0,0,0.1587678856,-0.1587678856
400869059,2016,12,2016-11-19,Louisiana,Georgia,Georgia,Louisiana,21.5,44.5,35,21,56,0.9626942728,0.5204416157,1,1.75,0,0,0,0,0
400869410,2016,12,2016-11-19,Middle Tennessee,Charlotte,Middle Tennessee,Charlotte,6.5,55.5,38,31,69,0.08301830631,0.4853586924,1,1.75,0,0,0,0,0
400869336,2016,13,2016-11-23,Ball State,Miami (OH),Miami (OH),Ball State,8.5,55,21,20,41,0.1037029152,0.4861833913,0,1.75,0,0,0,0,0
400869337,2016,13,2016-11-23,Central Michigan,Eastern Michigan,Central Michigan,Eastern Michigan,1,55.5,21,26,47,0.06569935971,0.484668231,0,1.75,0,0,0,0,0
400869252,2016,13,2016-11-25,Boise State,Air Force,Boise State,Air Force,7.5,63.5,20,27,47,0.03201734347,0.48332555,0,1.75,0,0,0,0,0
400869340,2016,13,2016-11-25,Toledo,Western Michigan,Western Michigan,Toledo,8,71.5,55,35,90,0.01092589184,0.4824848676,1,1.75,0,0,0,0,0
400869339,2016,13,2016-11-25,Northern Illinois,Kent State,Northern Illinois,Kent State,7,45.5,31,21,52,0.2748575296,0.493009295,1,1.75,0,0,0,0,0
400869338,2016,13,2016-11-25,Buffalo,Bowling Green,Bowling Green,Buffalo,11.5,60,27,19,46,0.07577694905,0.4850699928,0,1.75,0,0,0,0,0
400869418,2016,13,2016-11-25,Louisiana Tech,Southern Miss,Louisiana Tech,Southern Miss,14.5,71.5,24,39,63,0.02469321636,0.4830336096,0,1.75,0,0,0,0,0
400869604,2016,13,2016-11-26,Kansas,Kansas State,Kansas State,Kansas,24,51,34,19,53,0.6792498207,0.5091415937,1,1.75,0,0,0,0,0
400869255,2016,13,2016-11-26,San José State,Fresno State,San José State,Fresno State,3.5,51.5,16,14,30,0.1148454974,0.4866276727,0,1.75,0,0,0,0,0
400869416,2016,13,2016-11-26,Florida International,Old Dominion,Old Dominion,Florida International,14,60,42,28,70,0.09936638591,0.4860104881,1,1.75,0,0,0,0,0
400869256,2016,13,2016-11-26,Nevada,UNLV,UNLV,Nevada,9.5,59,10,45,55,0.06976451214,0.484830294,0,1.75,0,0,0,0,0
400869420,2016,13,2016-11-26,North Texas,UTEP,North Texas,UTEP,4,51.5,24,52,76,0.1171889626,0.4867211144,1,1.75,0,0,0,0,0
400869417,2016,13,2016-11-26,Florida Atlantic,Middle Tennessee,Middle Tennessee,Florida Atlantic,13.5,64,77,56,133,0.05780616067,0.4843535648,1,1.75,0,0,0,0,0
400869415,2016,13,2016-11-27,Charlotte,UTSA,UTSA,Charlotte,12.5,53,33,14,47,0.1890133283,0.489585318,0,1.75,0,0,0,0,0
400869419,2016,13,2016-11-27,Western Kentucky,Marshall,Western Kentucky,Marshall,28,62.5,60,6,66,0.3349335826,0.4954058065,1,1.75,0,0,0,0,0
400869253,2016,13,2016-11-27,Colorado State,San Diego State,San Diego State,Colorado State,12,53.5,31,63,94,0.1704552722,0.4888452046,1,1.75,0,0,0,0,0
400869090,2016,1,2016-08-27,Hawai'i,California,California,Hawai'i,21.5,66,51,31,82,0.1152970638,0.4866456781,1,1.75,0,0,0,0,0
400869097,2016,1,2016-09-03,Rutgers,Washington,Washington,Rutgers,25,56.5,48,13,61,0.4488256319,0.499949492,1,1.75,0,0,0,0,0
400868972,2016,1,2016-09-03,Georgia,North Carolina,Georgia,North Carolina,3.5,60,33,24,57,0.0385132546,0.4835844851,0,1.75,0,0,0,0,0
400868976,2016,1,2016-09-03,Missouri,West Virginia,West Virginia,Missouri,10,51.5,26,11,37,0.1774740602,0.4891251164,0,1.75,0,0,0,0,0
400869267,2016,1,2016-09-03,Western Michigan,Northwestern,Northwestern,Western Michigan,3.5,53.5,21,22,43,0.08971924581,0.4856258533,0,1.75,0,0,0,0,0
400868970,2016,1,2016-09-03,Louisiana Tech,Arkansas,Arkansas,Louisiana Tech,21,52.5,21,20,41,0.4509117472,0.5000327187,0,1.75,0,0,0,0,0
400869178,2016,1,2016-09-04,Northern Illinois,Wyoming,Northern Illinois,Wyoming,7,54,34,40,74,0.1035883138,0.486178822,1,1.75,0,0,0,0,0
400868946,2016,1,2016-09-04,Notre Dame,Texas,Notre Dame,Texas,3.5,54.5,47,50,97,0.07911485755,0.4852030681,1,1.75,0,0,0,0,0
400868980,2016,2,2016-09-10,Western Kentucky,Alabama,Alabama,Western Kentucky,27,59,38,10,48,0.4275477003,0.4991005977,0,1.75,0,0,0,0,0
400869430,2016,2,2016-09-10,Troy,Clemson,Clemson,Troy,34.5,62,30,24,54,0.6476001323,0.5078791995,0,1.75,0,0,0,0,0
400869516,2016,2,2016-09-10,Tulsa,Ohio State,Ohio State,Tulsa,28,72,48,3,51,0.1217932154,0.4869047033,0,1.75,0,0,0,0,0
400869510,2016,2,2016-09-10,UCF,Michigan,Michigan,UCF,36,53.5,51,14,65,1.475276961,0.5408288058,1,1.75,0,0,0,0.8935123066,0.8122839151
400869105,2016,2,2016-09-10,Idaho,Washington,Washington,Idaho,36.5,60,59,14,73,0.9150386689,0.5185426404,1,1.75,0,0,0,0,0
400869268,2016,2,2016-09-10,Akron,Wisconsin,Wisconsin,Akron,21.5,45.5,54,10,64,0.8849659486,0.5173440866,1,1.75,0,0,0,0,0
400868888,2016,2,2016-09-10,Iowa State,Iowa,Iowa,Iowa State,15.5,49,42,3,45,0.3803336398,0.4972169882,0,1.75,0,0,0,0,0
400868989,2016,2,2016-09-11,Virginia Tech,Tennessee,Tennessee,Virginia Tech,11,52.5,45,24,69,0.173519057,0.4889673888,1,1.75,0,0,0,0,0
400868947,2016,2,2016-09-10,Nevada,Notre Dame,Notre Dame,Nevada,27.5,62,39,10,49,0.3349662304,0.4954071089,0,1.75,0,0,0,0,0
400869270,2016,2,2016-09-10,Central Michigan,Oklahoma State,Oklahoma State,Central Michigan,17.5,58.5,27,30,57,0.1720196679,0.4889075928,0,1.75,0,0,0,0,0
400868877,2016,2,2016-09-10,SMU,Baylor,Baylor,SMU,34.5,72,40,13,53,0.2468504623,0.4918921378,0,1.75,0,0,0,0,0
400869104,2016,2,2016-09-11,Virginia,Oregon,Oregon,Virginia,24,71.5,44,26,70,0.08108605616,0.4852816564,0,1.75,0,0,0,0,0
